,text,labels
389,الدروبي مع أنها واضحة ما؟ https://t.co/5VW3079mo2,None
390,جيش التحرير الفلسطيني ينعى الشهداء سامر الناجيعامر خلففي معارك التصدي للعصابات الارهابية في ريف دمشق https://t.co/TY7TpEfK5K,Extremist_Group
391,https://t.co/GuemO2o1REامشي بدربك هز جبالراية عزك ما بتنطال ع حلب شد الهمة احسم نصرك عل اندال✌❤🎶🎵#احسم_نصرك_في_حلب #علي_بركات,None
392,وين كانت انسانيتكم لما كل يوم ينزل علينا مئات القذائف والصواريخ ومدفع جهنم,Military_Security
393,@YaMsh3L طولها كثير والله ..,None
394,@poppens_14_ صباح الخيرات 😊,None
395,ولعت مع ناصيف و ولع معو لبنان وسوريا والعالم كلووو 😍😘🔥@adelkaram9 @NassifZeytoun @fakihn #هيدا_حكي https://t.co/7MpCtsnFzz,None
396,@sajooj_issa بعد زمان 😍نورتي 😘,None
397,@barfin_habasch كذبة https://t.co/9tD5XYcI3o https://t.co/UtrIInH8Oe,None
398,@najwakaram 2 عزّ و 2 علي .. ربحنا باسرة 😂,Entertainment
399,@NajwaKaramاشتقتلِك.. بحنّلِكوانتِ قطعة منّي.. 😔❤#نجوى_كرم https://t.co/odY36oXfjS,Entertainment
400,يسعد صباحك هالحلو يالآنت للدنيا صباح,None
401,الأمل موجود دائماً بالله .. الله كريم ❤🙏🏻 #كلنا_سعد_لمجرد https://t.co/SXj01cDgsS,None
402,@RimaNjeimShow @najwakaram @sawtelghadlb و نحنا متلك 💘,None
403,الفنية' الآن نشط في Syria https://t.co/k5pEyVyZd3,None
404,@_neowam مثلي,None
405,و بأول زيارة لقلعة حلب بعد خمس ست سنين حرب💔ما نسيتك ... عطول أنتَ بالقلب ❤و محبتك كبيرة❤حلب شتاقتلك ❤@adelkaram9 https://t.co/3jNUothmxn,Aleppo
406,بحسب مراسل الميادين رضا الباشا اكثر من 100 سيارة لجيش الفتح دخلت من عفرين لشن الهجوم على حلب .. اذا صدق هذا الخبر فهذه طعنة جديدة نتلاقها,Military_SecurityAleppo
407,لا جربي وشوفي بيشتهيا وبينزل بيجيب فحم فورا https://t.co/ktFilQ6ZkN,None
408,#عنا الآن نشط في Syria https://t.co/k5pEyVyZd3,None
409,هاد ابو شماغ ابيض بيشبهو ل تيم حسن 😂😂😂😂😂😂 https://t.co/uBb9t9GIP3,None
410,تصبحون على بطاريات ممتلئة,None
411,@Allahuakbr3996 لأ لأ صدقني مالي علاقة 😂😂😂😂😂الريحة طالعة من احد بيوت الحارة,None
412,وأخيراً عرفت مصدر هل المقولة الغبية، فشرت مين ما كنت تكون ورا هل الحساب المزيف بالمناسبة ولدي فلاشة تثبت هذا الكلام https://t.co/pMU1tqh3yE,None
413,شو ممكن اعمل بمرئة اليلنجي ؟ زاد كتير ومالي قلب كبن 😞,None
414,ما كتير تعيشوها وتشمتوبكرا بيتصالحو وبيطلع فيلم وبيخوزقونا كالعادة#قطع_العلاقات_مع_قطر,None
415,@love_my_mam كل عام وانت بألف خير اخي محمد احلى اخ مشاكس عقبال المية سنة بالصحة والعافية والسعادة 🤗 https://t.co/bRbR8325qT,None
416,في داعي احكي ولا لا ؟ https://t.co/tRt8EjpdtA,None
417,لا ترتكبي جريمة في حق حواجبك 🙌🙌🙌 https://t.co/dDwkX8bMtC,None
418,@najwakaram حُبّي ❤,Entertainment
419,@aboslemanmohmad السؤال موجه لي؟,None
420,@mohannad_yasin1 رهف 😬😬😬😬😬,None
421,😥لهون وصل معهن القرف 😒 شعب غبييييييي 😒 https://t.co/lyKe2crx3X,None
422,@najwakaram @Wissam_ElAmir @mounirbouassaf3 كل الدّنيي تحدّيت وللعشرة ما عدّيت 😍🔥#LDenyiT7addeethttps://t.co/AY5Xjcv8U4,Entertainment
423,@Layal_NK @najwakaram 😂😂😂هَي هيّة😅 ..,None
424,هي بتحب التفاح الاصفروهوبيحب الأحمربعد عشرين سنةزواج صارت تحب متلووقررت تخبرو بنفس اللحظةإجى هووفاجئهاوقلها:أناصرت… https://t.co/GsSr0x9m4O,None
425,الوحدة بطل كأس السوبر بكرة القدم بعد تغلبه على الجيش #صورة_سورية #سوريا #رياضة_سورية https://t.co/Voae5iOjfY,None
426,@Deejiin_ دخلت انصدمت 😨😱,None
427,يضعون الامتحان في رمضان مع الحرليخرجو أسوء ما فيك...ثم يقولون لك هذه علاماتك ..تفه يا اعداء الله .. 😪😪,None
428,ما رح نوصل لمحللانو مافيا شيحرية شخصية البدو يصوم يصوم والبدو يفطر يفطرنشالله يفطر مشان مسبة !ما حدا دخلو بالتا… https://t.co/k5L4zBJqaH,None
429,الخاص ممنوع احتراماً لمن ستصبح زوجتي,None
430,@saadlamjarred1 سعد تعال احتفل معنا بمليونك الخمسين 😀😆😃💃🏻💛❤️💛❤️🎵🎵🎵 https://t.co/LUhOg2gEE1,None
431,ياعمري صحاني الشتي فيق عيوني ع البكي وعى حنيني عسكت جربت احكي وماقدرت يمكن ...يمكن ...معك فل الحكي 💔🎶🎶,None
432,@alhosini_amaniيخليلك أمك ❤😍الجواب الاهم 😂وفرولي شروط الي ما تخليني اقلب خلقتي حتى ضل اضحك*انو هيك بجيني اوقات خلص بضل معصبة وقالبة خلقتي,None
433,@ghanuge_nk اي اي 😂هلق بيصير سفرة بدو ياخدو و ماتريشكو ...و عدي لتعدي😂شعب بس شغلتو ينجلق ياريت ع شي محرز 😂😸,None
434,@najwakaram جمعة عظيمة مباركة ستّ نجوى ⁦🙏🏻⁩❤,Entertainment
435,@Abedroubi الشب السحبة,None
436,ليه هل قد حلو انت 😍❤😍🙊@waelkfoury #ArabIdol,None
437,وفتاتين بوزن 100 كيلو تلتقطان سيلفي على حصان لعبة مصمم لطفل عمر سنوات,None
438,@AlhazzaaaliAli ههههه تهديد صريح اللهجة..بعد زمان علوش ❤️👌🏼,None
439,رح يوقف قلبي 😩من كتر ماعم يوقفوا هالفيديوهاتنت زفت بس احسن من اثناء النهار كاننت زفت مزفت 😅#هلوساتي,None
440,@NK_Fans @najwakaram آه من الغرام والـ بِدوق الغرامشو بيتعذّب شو بيتألّمبِنام وما بِنام.. ❤#نجوى_كرم… https://t.co/PLtjyXyu3W,None
441,ما بعرف شي ابداً 😂😂😂😂 https://t.co/5NEfut8zRv,None
442,صباح العطلة الجميلة,None
443,يوم عرفة هو افضل يوم تشرق به الشمس والدعاء فيه مستجاب اللهم اهلك الطغاة بشار وروسيا وايران وكل من والاهم https://t.co/pdjcZdvwos,RussiaReligion
444,إنَّهم يَستَمتِعون .. و نَحنُ نتأَلم ! 🙇,None
445,بيشتريلي صندويشة فلافل هل دولار 😂😂 https://t.co/gYArV2tlmg,None
446,@NajwaKaram مغرومة بهالصور انا 🌸✨ https://t.co/qUrnTKkuqC,Entertainment
447,بإمكانك أن تصمت قدر ما تستطيع .. لكن حين تنطق ملامحك .. لن تستطيع إخفاءها ..!! https://t.co/oznQmYp9Bv,None
448,ولد في الحرب، ومات في الحرب.مهاب نور اللحام، خمس شمعات انطفأت بقذيفة هاون انفجرت في ساحة الأمويين غرب #دمشق، فارتاح الطفل، وأصيبت والدته...,Military_Security
449,@CostaMaha ههههه مشان تدينك وتموت :-Dصباح التعتير والافلاس,None
450,متى من طول نزفك نستريح? سلاماً أيها الوطن الجريح… سلام لك شام الياسمين،،،لأرواح شهدائك السلام… https://t.co/FV60ybLNbh,None
451,@abed_r76 😊😊😊😊هاد نورك,None
452,@AmineHotait بجامعة حلب لك احبة دمت بعبق الياسمين فكر وصوت الحق والحقيقة,Aleppo
453,“Shehrazad” by @LenaChamamyan on #Anghami 🌃🎧نامي ما تخَافي من عَتمون الجَافي.. من اللَيل شو خلقِت أحلآم!.. ❣💭💫https://t.co/QFQKlaJyWd,Entertainment
454,انا ليك انا اقرب من الدنيا ليكانا جنبك حنيّن عليك ..,None
455,@963_011 @_letche تمام,None
456,#وائل_كفوري #Wael2017 ❤بعدو مفعول الغرام المستحيل ما خلص @waelkfoury,None
457,نقيب الصاغة أسعار الذهب آخذة بالانخفاض على المستويين المحلي والعالمي وهذه الانخفاضات المتتالية فرصة أمام المواطن لشراء الذهب والادخار به,None
458,@AjaMalass فتحة، باي بلاد حاليا أنت صحي,None
459,#LikeIf نغمتها https://t.co/oYM5xG8Tu5,None
460,@ghanuge_nk جارتا النشئ الجديد 😉,None
461,ما لم تروه على الشاشة من الحلقة الخامسة تشاهدونه في هذا الفيديو #Audition5 #ArabsGotTalent… https://t.co/2YvlOsGj6p,Entertainment
462,يعبشوم عليكم نكستو عقالي ما حدا سأل 🤦🏻‍♂️ جبناء https://t.co/MDw7www70D,None
463,@j_alashkar والله ما يسوووى ولو 😌😌😌,Religion
464,هلا إجباري الأكل بدو زيت أو سمنة حتى ينطبخ ؟؟,None
465,ضحكة بابا وجدو عندي هيي بالدني 😍❤🙈بس يضحكو بحس الهموم بقلبي راحو 🙈❤,None
466,صباااحك سكر يا غالي .. الله يسعدك ويحميك ويديم ضحكتك يا اطيب قلب 💛❤🙏🏻 @saadlamjarred1 #We_Love_You https://t.co/JaIS9jQnVt,Religion
467,@najwakaram دنيتي انتي وعمري الحلو 💜,Entertainment
468,@NK_Fans @najwakaram @raghebalama @Amradib #نجوى_كرم أصيلة و بنت أصول و كَرم ❤الله يحميّا ياربّ 🙏,None
469,ياااا رب,None
470,#اليوم العالمي للسعادة كل #نعمة تتقاسمها مع الاخر تنقص الا #السعادة فانها تزيد كل#خير فرحة معونة مساندة حتى بالكلمة تورث سعادة مشتركة,None
471,تصبحو على موج على موج البحر 😅 تم تم ❤️,None
472,النوم 😂انشالله https://t.co/oRlymiRA4P,None
473,@rany_bitar عند ابو يزن اطيبابو سويس بيموت 😂,None
474,انا وقت يكون عندي امتحان بيعزبني ضميري ازا نمت كتير بس مع هيك ما بدرس .. يعني لا نوم ولا دراسة بس هدرر وقت عالفاضي 😞😪,None
475,@housssak 😂😂تفضل والله وقت البدك احلا ضرب متة😍😍,None
476,عاجلروسيا تطلب من تركيا اغلاق حدودها و منع الارهابيين الى داخل سوريا و اردوغان يقول تم خخخخخخخخ,Military_SecurityExtremist_Group
477,"لما بتعب و بدرس كتير ما حدا بيدعيلي ""الله لا يضيعلك تعب""بس لما ما بدرس كتير وما بتعب كلن بيصيروا بدعولي الله لا يضيعلك تعب 😭✋😅",None
478,إحصاء جديد، أنا... #تصويت_سورية,None
479,غلاتك بقلبي بغلاوة حلب 😍@waelkfoury ❤😘يعني قد الدني والسما والبحر 😍❤,Aleppo
480,@Maganenoo فشر يتشبه سيدي خالد النقشبندي بحدا,None
481,@Samira_Hn @Migovnoval_wk 😂😂ست ميغو تاني مرة وقت نعمل شي لا تخلينا نجرب بسميرة 😂😂😅,None
482,ياربي شو عم يصير😭😭,None
483,@noura73404853 تسلميلي ❤😘❤,None
484,@najwakaram مع انّي ما بحبّ كون هيك بس هي تالت سنة بنطرك تقليلي شي بهاليوم 😔,Entertainment
485,الظلام لا يبدأ في المساء بل يبدأ في القلب اللهم نوّر قلوبنا بذكرك وقرآنك #تصبحون_على_أنوار_قلبية #ليلة_الجمعة https://t.co/CnrOXRJjc4,Religion
486,@963_011 شو وضعو معسل تفاحتين نخلة عندك ؟ :-D,None
487,من الغباء الاعتقاد انو الجيش السوري كان عاجز على انهاء الحرب بداريا من ٢٠١٣#جمعة_الباص_الأخضر_في_داريا,Anti-RegimeMilitary_Security
488,كـالشـام انـتـي ❤😍😻 https://t.co/jgSMJY2qKn,None
489,@poppens_14_ @fffaaa1400 مشكلة بسيطة لا تذكر,None
490,@LayaliKaram قولي الله و الله معناااااا #هيدا_حكي_نجوى_كرم,None
491,@najwakaram غنيّو شَوق بغنّيلك..شَمعات القَلب بضَوّيلَك🕯وحياتِك بِعيوني بشيلِلك..😍#نجوى_كرم #لو_حبيتك ❣💫https://t.co/u4ZR6lxHTy,None
492,@FaretAlbet بدك محرمة,None
493,@SaifAllahJF بإذن الله رب العالمين,None
494,@RayounaAna ليك الابداع ليك 😂 https://t.co/wGuut7KJQ6,None
495,@najwakaram شو قالِت #نجوى_كرم عن #AGT5 ؟و شو نَصيحتها للمُشتَركين ! 🌸💫#ArabsGotTalent exclusive via @mbc_group .N… https://t.co/xJ16iCrIjG,Entertainment
496,@facts444 سبحان الله,None
497,@KfouryNarmen @waelkfoury خليلي ياكي قلوبي ❤😘💖,None
498,الكرش أولاً https://t.co/c8z21j6qEf,None
499,@najwakaram شو بحبّ ردّات فعلِك! 💘بكلّ أناقة و رُقي و ما بتخلى من الهضامة الحلوة #نجوى_كرم 😌 https://t.co/1ZQXfMkeSX,Entertainment
500,ومهما يصير .....الله كبير,Religion
501,#ناصيف_زيتون#سعد_رمضان#ربيع_بارود#جوزيف_عطية#نادر_الأتاتهالشباب شو ما غنّو بيضرب وبينجحدخيل ربن مأحلاهن😍❤️,None
502,البنات اذا شافوا بنت حلوة و صواااب ، بقولولك مصطنعة و ليك كيف و ليك شلون !!يا اختي كوني متلا مصطنعة و ما بدنا منك شي 😅️,None
503,اسماء ولاد الفانز المستقبليين:نجوى، كرم، عمر، هيا 😍😂❤https://t.co/rCuPA7U0Rn,None
504,@ElafSy وان شالله بتكمل فرحتنا الكبيرة,None
505,@huda1992k @Anasal10 أخوكم حسام اللحام,None
506,اجمل و ادفئ هدية لعيد الحب من فريشتي KBC ساحة العزيزيه @ North Chamber of Tourism غرفة سياحة… https://t.co/LjAjco5zg8,None
507,@love_my_mam كلامك صحيح بس هاد كلو في إلو اسباب كتيرة وقديمة ع فكرة ومابدي احكي اكتر وفهمك كفاية,None
508,@Deejiin_ حبيبة قلبي ❤اليوم عيدا عقبال المية يارب و انشالله تكون سنة حلوة عليكي متلك ومتل قلبك❤خليلي الكرديات شو بحبن ❤😘,None
509,صار طعم النصر اشهى في رصاصك يا حـلـب ❤✌❤#حلب #Aleppo ❤ https://t.co/aoJUcAxiji,None
510,#مشكلتي تعبت ✋🏼,None
511,زينة الحلوه حبيبت عمووووووا وكل عام وانتم بالف خير @ اشرفية… https://t.co/aWsq8XlQem,None
512,وأنا https://t.co/iRkik7sZUP,None
513,@amanyalas اللهم صل وسلم وبارك عليك يا سيدي يا رسول الله محمد وع آلك وصحبك وسلم تسليما كثيرا,None
514,اي تعلمي ما تبقي جاهلة هيك😂😂😂😂 https://t.co/ygsRcY67j2,None
515,مساكن دبس رمان https://t.co/ySRtJKF8Qz,None
516,@najwakaram محلاكيييي 😂❤#نجوى_كرم,None
517,@najwakaram @fanscribeme و انشالله بينعاد علَيك.. يا حَبيبي بينعاد علَيكالعُمر كلّو يا حَبيبي.. بالفَرَح ينعاد علَ… https://t.co/UMxLyS0Hp1,Entertainment
518,سلم عليها يا هوى ...واحكي لها قلبي هوى كان الهوى يحكي معي بطل يحاكيني الهوى ...🎵🎶😍#ابو_مجد #ملحم_بركات 🎶❤,None
519,@najwakaram 💕غلّ فيي غلّ ~ أنا منّك ما بملّ 💆لَيك جنوني و شوف عيوني 💁بترقص كل ما بقرّبلك 💃https://t.co/ncRUjDLRzk#YekhrebBaytak 💜🎶😙.,None
520,#NowPlaying “Tghazzal Feyeh” by @najwakaram on #Anghami 🌃شو كَانت أَحلامي لَو ما توّاعيها أنتِ من نَوما! 💭💘https://t.co/bRgB5ZAqe3,Entertainment
521,@huda1992k هاد الوضع الافتراضي,None
522,دامك امرأة، فلا أبريك من ماضي.https://t.co/Z2D0EcJJdr,None
523,الطبل باللادقية، والعرس بحلب .. 😁😁✌🏼️,Aleppo
524,هرتسليا؟ 😳 https://t.co/XRd0enzisB,None
525,@LeeeenNehme حبيبتي ❤😘يخليلك عيلتك ❤ ويخليلن ياكي ❤😘,None
526,@MarwaElMarouk @FadiHaddadmedia في شغل في شغل كتير بِبداية الأسبوع 🏃صباح الخير 🙋,None
527,محبتي الك ❤وعشقي لصوتك 💖😘من عند ربي احلى نعمة 😍@kfourywaelالله يطول بعمرك 🙏💖❤😘,None
528,بليز Godوي نيد شي سالفة نتسلا بيها ارسل لنا بعض الاغبياء,None
529,@najwakaram حبّيت و عَم غَنّي.. عَم غنّي لحُبّي..و من قَلبي يا قَلبي.. عَم غَنّي لقَلبي..#لو_سألوني #نجوى_كرم ❣💫https://t.co/7v6hXGNYTK,Entertainment
530,"@Tarek_Hamade @ayameh007 حبيبي كل محافظة الها تراثها الشعبي كل يلي استغربوا لاوادقة، بتغنو ""يا ولاد محارم وشن غليلة وقويها بالشدة""",None
531,@saadlamjarred1 اكيد رح تفجرها معلم 💛🤗,None
532,@saaam456 أمل ابليس بالجنة 👻 ما بذكر شو الموضوع,None
533,@najwakaram بُعدَك مجَنَّني أوعى تبعُد عنّي..قُربَك بيطَمنّي عيش العُمر سنين..#نجوى_كرمhttps://t.co/SMM3k22wez,Entertainment
534,@salmamalkmm @saadlamjarred1 رجع,None
535,@Rimaz_Subaie @saadlamjarred1 استمتعععت استمتعت فعلاً بكل بحظة بداية يوم رائعة 💛💛,None
536,@ghanuge_nk 😂😂😂😂دي بقا لهل درجة 😂,None
537,مثال جيد https://t.co/X1okSnjj3i,None
538,@TheSyrianTweet ههههههههه مو منطقين بالمررررة 😂😂😂😂Made my day 😂😂,None
539,كس اخت اوباما وادارتو https://t.co/Zx07UhlUFL,None
540,@j_alashkar حلوان شو يا ابن الحلالمافي واحد بالمنطقة قلن مبروك 🐸,None
541,@noura73404853 @hadeerkfoury @hanakhaled11 @waelkfoury خلص بس بوعدك اشتريا 😉❤,Entertainment
542,.@najwakaram يا حبيّب مين و مين متلَك يا عَالي الجبين!لو غزّوا بقَلبي سكيّن، ما حيّد عن دَربي هَواك💕 https://t.co/bH2CoGYqXB,None
543,@najwakaram أنا لكتب كرمالك عمري على حدّ السّيفيا بشوفك يا بيخلص عمري ما همّي كيفوعد العاشق دين وعمرو ما يحط شروط… https://t.co/u4BPc32R86,Entertainment
544,-الله يسامِح هالزِمَن و يسامحَك ويّاه!و إنْ كان للفَرحة ثمَن..عِشناها و دفعنا 💭,None
545,يبدو أن الضغط الهائل على موقع #صراحة خلال أيام قليلة أدى لتوقفه .. أو أنه انتحر من الصراحات التي سمعها عن مستخدميه :P,None
546,@sajooj_issa حسيت كأن حدا عم يركض وراها هيي وعم تحكي، إنو خدي نفس وركزي 😂😂😂😂,None
547,تقبر عيوني نشالله يا كبير يا ابن الكبار 😍👏🏼👏🏼❤️👏🏼👏🏼😍 https://t.co/05cvQP4Yyg,None
548,يارَبّي ما عَاد عنْدي قدرة كَفّي..بَيّي اختَنَق و مش قدرانة شوفو.. و خَبر عَن نَجوى بنَفس اللحظة😢عَم اتشَقّف 💔 ما بَقَلي حيْل😔,None
549,@najwakaram مازَال عيونوا العُمر كلّو بأَمريأنا بِأَمر عيونو مَنّي مرَدَّدة💆لا لا لا لا مَنّي مردَّدة👯 #نجوى_كرم 💘https://t.co/kTzdYdhO8B,None
550,@NK_Fans @najwakaram نِسمة تِروح و نِسمة تِجي..طير وَرا طير لي يلتِجي! و الشّمس تنْدَهلي ارْتجي..الله يعين قَلب… https://t.co/iPHgjXDtJo,None
551,@JKhmaise ومن ثم ما مشي الحال حذوف substrate وطفي الموبايل وشغله ورجاع جرب نزل يلي بدك ياه عزيزي وطمني :),None
552,@hadla_2015 اليوم سبت يا عمو يعني عطلة,None
553,لأولئك الذين يفهمون، ليس هناك حاجة للشرح.ولأولئك الذين لا يفهمون، ليس هناك إمكانية للشرح.,None
554,لك في احلى من الانتصار ✌✌✌✌✌❤,None
555,قلو عيونو مش فجأة بينتسوا .. ضحكات عيونو ثابتين مابينقصوا 💛💛🎶,None
556,@najwakaram و ما ضلّ غَيرو ذكِر من عَين الحَبيب ؟ 🎼💙https://t.co/iobZklG0hE#مني_إلك #نجوى_كرم,Entertainment
557,@NajwaKaram مابريد قلبي لو ختم جرحو يطيب 😍😭 #NajwaKaramInMawazine2017,Entertainment
558,مجدداً الجمعيات الأهلية والخيرية مستنفرة فيك تساعد لا تتردد، كساء أكل دواء لكن لا تنزل عَل عمياني تواصل مع حدا عَل… https://t.co/wv5lhxFzCc,None
559,@Makhlouf_sy @syria_assadlove سياج الياسمين دعاة الحق والدفاع عن السلام والامان لشعبنا هو جيشنا الباسل والقوى المؤازرة,None
560,@sophiadib28 لعما بعيونن شو هاد 😳😳,None
561,@najwakaram علّميني كيف موت بحبّك ⁦🙌🏻⁩❤,Entertainment
562,@NK_Fans @najwakaram أنا لكتب كرمالك عمري على حدّ السّيفيا بشوفك يا بيخلص عمري ما همّي كيف#نجوى_كرم #منّي_إلك ✨https://t.co/AY5Xjcv8U4,None
563,#هيدا_حكي_نجوى_كرم طَعمة حَنين الشَوق دَوّقني https://t.co/p7PFdARtM1,None
564,@alsham_fadi صح وين بتختفي !,None
565,#جيش_الإسلامبدء عملية #ذات_الرقاع والتي تهدف إلى الإغارة على نقاط الأسد على طول الجبهة من مطار المرج إلى المبنى الزراعي في #الغوطة_الشرقية,None
566,أنا لَكتُب كرمالَك عُمري.. عَلى حَدّ السّيف..يا بشوفَك يا بيخلَص عُمري.. ما هَمّي كِيف!#LDenyiT7addeet @najwakaram 💜💫,None
567,-يتسَاوي الدّنية عَنْدي.. 😌غَيْرِك لا لا ما بَدّي!💁#نجوى_كرم 💎 @najwakaram 💘 https://t.co/enO3OpHPwu,None
568,اثنان لا تبقى معهم ..من لا يفهمك ومن لا يعرف قيمتك😂😂😂#نهفاتي 😁 https://t.co/C8NyRe8RBD,None
569,@najwakaram @fanscribeme ساعة إلا خمس دقايق 😩🔥,Entertainment
570,من يغفر لمن ..من يواسي من ..لم يعد هذا الأمر مهماً ..,None
571,@waelkfoury اختي الصغيرة اجت اليوم توعيني من النوم تقلي قومي بجوز وائل نزل البوم جديد 😂😂😂😍اخدتها عادة 😂😁,Entertainment
572,الصراع العالمي اليوم في #حلب و ريفهامن أميركيين و كرد و عصابة طائفيةو روس و إيرانيين و أتراك يتجسدبفيلم #أرطغرل اليوم .,Military_SecurityRussiaAleppo
573,مبروووك تركيامبروووك اردوغاناللهم لك الحمد#تركيا_في_امان#تركيا_الغالية#انقلاب_تركيا_يفشل#يعيش_الشعب_التركي https://t.co/82JcWKK2df,None
574,@j_alashkar 😂😂😂الله يعلم اني لا اقصدها بس انتا نيتك عاطلة,None
575,@najwakaram يا قلوب المشتَاقة.. تَنبقى و نتلاقى..بِلَهفة حرّاقة.. لازم هَون نضَلّ! 💙💘💫https://t.co/Bo3um6735J#مني_إلك #نجوى_كرم,Entertainment
576,في اليوم الثاني على التوالي المدنيين في المناطق المحررة يجددون مظاهراتهم نصرة لأهلنا في #حلب ويقطعون طريق #إدلب _ #باب_الهوى #حلب_تباد,None
577,#هتش الآن نشط في Syriahttps://t.co/rPivg3aoun https://t.co/bTjz2GLTvM,None
578,@a041727204 اي لعيونك 😉😁,None
579,@ghanuge_nk @najwakaram @RashaYassen22 @Layal_NK @dareen_karkar @arabqoute 😘😘❤دخيل قلبك 😍😘,None
580,@najwakaram بين الأسامي عرف اسمي 🙈#نجوى_كرم 💃💃💃https://t.co/kvoPMcZpy0,None
581,لا تعملي اركيلة 😂😅 https://t.co/ENMPeD4d31,None
582,#عاجل || الطيران الحربي يستهدف بصواريخ c5 مدينة #الاتارب و بلدة #قبتان_الجبل و طريق حور #دارة_عزة في ريف #حلب الغربي .#هدنة,Military_SecurityAleppo
583,زوجة #ترامب تتصل بزوجة #اوباما عم تسألا وين حاطين السجاد بدن يفرشو للشتي 😂😂😂😂😂😂😂😂😂😂😂,None
584,سندبااااد 😍😭#ArabsGotTalent,Entertainment
585,#ksa الآن نشط في Syria https://t.co/k5pEyVyZd3,None
586,@KfouryNarmen شايفة كيف 😂😂😂 https://t.co/VnKFStMinB,None
587,كل دعائنا وثقتنا معك وفيك سعد كل شي بانتظارك 💔💔💔 يا رب #كلنا_سعد_لمجرد https://t.co/qjYhDNIMUA,None
588,@SH65x__ @najwakaram بدها تجيب آخرتنا هية وهالحركات 😩😭💜,Entertainment
589,"@NizarDarwish كم مرة بحياتك سألوك ""جد هيك اسمك""",None
590,@anas_tayara مو انت يلي قتلت عيلتك 😅,None
591,"في #سوريا حصل، هنالك فلسطينيون أصبحوا وزراء، ثم أن المعلومة متلاعب بها هو كندي من أصل صومالي أي جنس لاحقاً لا ""الوز… https://t.co/riB64jnI3D",None
592,أنا اليوم فائسة 🙈الله يكمل هالنهار على خيروستر وسلامة 😎#هلوساتي_المسائية,None
593,تعا بَوْرد بقلبي وضلّ~ضلّك لتشتّي الدّنيوإنّ ما شتّت يا روحي ضلّ~ضلّك لتاني سنة!@najwakaram #MenniElak #نجوى_كرم… https://t.co/PahvQaw8yy,Entertainment
594,@SarahShahid_ حتى هون اذا مافي شمس بهدلة,None
595,@najwakaram غرامَك يا قَلبي كبير قَدّ ما بدَّك قول وأكتر💁لا تفكّر هالقلب زغير عَندو حُبّ وحبّو بيكتَر🙌#نجوى_كرم https://t.co/iobZklG0hE,Entertainment
596,الله والجيش السوري ولوااااااء القدس العظيم 🎉🎉 https://t.co/xOIZOpnXop,None
597,توزع السيطرة في ريف محافظة #حلب الشمالي و الشرقي و الغربي حتى تاريخ 8-3-2017 . https://t.co/wfFjH5it0j,None
598,@_Syriana_ رأيك مبني ع موقفك من الأزمةبرايي الشكر عادي بس لاحظت انو العبارات في منا فيا مبالغة بشعة,None
599,@najwakaram بَعدا بعِنَيّي نَظراتَك ما بتنتَسى...كانت حَنونة كلماتَك.. لَيش القَسى!#نجوى_كرم 🙇https://t.co/eNsIWyMLHb,Entertainment
600,@S2i3d2i3 تصور بوست فيسبوك وتحطه تغريدة كمان,None
601,@najwakaram حَبيبتي #نجوى_كرم,Entertainment
602,سممووورة حبيبتي ..الحمد الله بخير ..شتقتلكن كتييير 💕❤😘 https://t.co/wUOFxrGsbS,None
603,من اجمل الصفات الطبيعية والعفوية والتواضع 💛❤️ @saadlamjarred1 https://t.co/Ami8nalmQA,None
604,بزعل بسرعة وبروء بسرعةليس للحقد مكان في قلبي 👌 https://t.co/76OJOkXe3C,None
605,ماني ماني مستعجلةناطرتكن يا صيصان 😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/8wCU3cgQM9,None
606,@waelkfoury انك تحضر الArabIdol بس كرمال تشوف هل شخص و حركاتو ورأيو...هيك بتكون انسان كتير بتفهم و عم تبسط حالك🙈😍 https://t.co/O9K6SksTnh,Entertainment
607,لا يوجد سعادة اكبر من ان نقابل شخص يفهم العالم مثلنا، عندها سنعرف بأننا لسنا مجانين.صباح الجنان,None
608,@alaasynk بونوياااات 😂😍❤️,None
609,"د.عبدالله ﷴ المحيسني, @mheisny الآن نشط في Syria https://t.co/k5pEyVyZd3",None
610,@najwakaram يا غرام بيمشي بعروقي 💗✨,Entertainment
611,#كراح الآن نشط في Syria https://t.co/k5pEyVyZd3,None
612,@najwakaram يا صَباح الجَمال و البَرَكة و الحُبّ 😍الله يحميكون و يخلّيكون لبَعض.. و انشالله بتبقى الست بربارة منور… https://t.co/vuNXZYCjbn,None
613,@lamess09 @saatty111 @Solii_q لا ومثقف بيكتبا بالانكليزي,None
614,أمضينا نِصف شّهر #رمضان و لم يتبقى إلا النصف الأخر منهُ اللهم اجعلنا ممن تدركهم الرحمة ثم المغفرة ثم العتق من النار .,None
615,@najwakaram #نجوى_كرم منحبّك 💘#NajwaKaramAlLOlympia #NKSnaps 👻 https://t.co/nkgKsiizav,None
616,@RanaSa1983 صورة الهوية 😂😁😂😅,None
617,@najwakaram في الدُّنيا ما يقدَر أَحَد..يا خُدني من دَربِك أَبَد! 💭💖,Entertainment
618,@NathalieHoms @MiddleEastPost صياغة غبية,None
